GovernmentName,District_ID,audit_name,raw_equal,reformed,all_audit_ids,tbrb_yrs,years,tbrb_prin_med_M,confidence
NORTH TEXAS MWD,6010000,NORTH TEXAS MWD,TRUE,FALSE,6010000,19,2007-2025,1732.42,HIGH
LOWER COLORADO RA,5460000,LOWER COLORADO RIVER AUTHORITY,FALSE,FALSE,5460000,19,2007-2025,1538.18,HIGH
PORT OF HOUSTON AUTHORITY,7133000,PORT OF HOUSTON AUTHORITY,TRUE,FALSE,7133000,19,2007-2025,690.22,HIGH
HARRIS COUNTY FCD,3630000,HARRIS COUNTY FCD,TRUE,FALSE,3630000,19,2007-2025,647.93,HIGH
SAN JACINTO RA,7490000,SAN JACINTO RIVER AUTHORITY,FALSE,FALSE,7490000,19,2007-2025,547.86,HIGH
NORTH FORT BEND WA,5983545,NORTH FORT BEND WATER AUTHORITY,FALSE,FALSE,5983545,17,2009-2025,333.89,HIGH
UPPER TRINITY REGIONAL WD,8149000,UPPER TRINITY REGIONAL WATER DISTRICT,FALSE,FALSE,8149000,19,2007-2025,245.42,HIGH
MIDLAND COUNTY FWSD 1,5846750,MIDLAND COUNTY FWSD 1,TRUE,FALSE,5846750,11,2012-2022,221.34,HIGH
PORT OF CORPUS CHRISTI AUTHORITY,7132500,PORT OF CORPUS CHRISTI AUTHORITY,TRUE,FALSE,7132500,16,2007-2025,188.51,HIGH
BEXAR METROPOLITAN WD,1540000,BEXAR METROPOLITAN WATER DISTRICT,FALSE,FALSE,1540000,5,2007-2011,170.64,HIGH
PORT OF BEAUMONT ND,7130000,PORT OF BEAUMONT NAVIGATION DISTRICT,FALSE,FALSE,7130000,19,2007-2025,165.43,HIGH
HARRIS COUNTY ID 18,3736454,HARRIS COUNTY IMPROVEMENT DISTRICT 18,FALSE,FALSE,3736454,13,2013-2025,159.77,HIGH
HIDALGO COUNTY DD 1,4440000,HIDALGO COUNTY DRAINAGE DISTRICT 1,FALSE,FALSE,4440000,19,2007-2025,157.7,HIGH
HARRIS-MONTGOMERY COUNTIES MUD 386,3738430,HARRIS-MONTGOMERY COUNTIES MUD 386,TRUE,FALSE,3738430,16,2010-2025,142.96,HIGH
CANADIAN RIVER MWA,2253000,CANADIAN RIVER MUNICIPAL WATER AUTHORITY,FALSE,FALSE,2253000,19,2007-2025,142.38,HIGH
GUADALUPE-BLANCO RA,3422000,GUADALUPE-BLANCO RIVER AUTHORITY,FALSE,FALSE,3422000,19,2007-2025,137.94,HIGH
NORTH PARKWAY MMD 1,5998000,NORTH PARKWAY MMD 1,TRUE,FALSE,5998000,4,2022-2025,127.18,HIGH
COLORADO RIVER MWD,2380000,COLORADO RIVER MWD,TRUE,FALSE,2380000,19,2007-2025,124.66,HIGH
FORT BEND COUNTY MUD 058,3080008,FORT BEND COUNTY MUD 58,FALSE,FALSE,3080008,17,2009-2025,121.34,HIGH
HARRIS COUNTY MUD 489,2896289,HARRIS COUNTY MUD 489,TRUE,FALSE,2896289,7,2019-2025,115.76,HIGH
CINCO SOUTHWEST MUD 1,2286766,CINCO SOUTHWEST MUD 1,TRUE,FALSE,2286766,18,2008-2025,111.04,HIGH
COASTAL WA,2309000,COASTAL WATER AUTHORITY,FALSE,FALSE,2309000,19,2007-2025,106.46,HIGH
HARRIS COUNTY MUD 165,3737388,HARRIS COUNTY MUD 165,TRUE,FALSE,3737388,19,2007-2025,104.86,HIGH
HARRIS COUNTY MUD 500,3737121,HARRIS COUNTY MUD 500,TRUE,FALSE,3737121,15,2011-2025,102.23,HIGH
FORT BEND COUNTY MUD 169,3079429,FORT BEND COUNTY MUD 169,TRUE,FALSE,3079429,16,2010-2025,101.87,HIGH
SIENNA PARKS & LID,7573000,SIENNA PARKS & LID OF FORT BEND COUNTY TEXAS,FALSE,FALSE,7573000,19,2007-2025,99.7,HIGH
HARRIS COUNTY MUD 419,3737137,HARRIS COUNTY MUD 419,TRUE,FALSE,3737137,18,2008-2025,99.41,HIGH
NORTHWEST HARRIS COUNTY MUD 05,6041100,NORTHWEST HARRIS COUNTY MUD 5,FALSE,FALSE,6041100,19,2007-2025,97.28,HIGH
BELL COUNTY WCID 1,1220000,BELL COUNTY WCID 1,TRUE,FALSE,1220000,19,2007-2025,95.04,HIGH
FORT BEND COUNTY MUD 025,3079915,FORT BEND COUNTY MUD 25,FALSE,FALSE,3079915,19,2007-2025,95.03,HIGH
FORT BEND COUNTY MUD 134B,3081099,FORT BEND COUNTY MUD 134B,TRUE,FALSE,3081099,10,2016-2025,94.66,HIGH
MONTGOMERY COUNTY MUD 113,5856577,MONTGOMERY COUNTY MUD 113,TRUE,FALSE,5856577,15,2011-2025,93.27,HIGH
FORT BEND COUNTY MUD 134C,3081165,FORT BEND COUNTY MUD 134C,TRUE,FALSE,3081165,15,2011-2025,89.5,HIGH
MONTGOMERY COUNTY MUD 46,5858050,MONTGOMERY COUNTY MUD 46,TRUE,FALSE,5858050,19,2007-2025,86.96,HIGH
VIRIDIAN MMD,8324750,VIRIDIAN MUNICIPAL MANAGEMENT DISTRICT,FALSE,FALSE,8324750,15,2011-2025,84.9,HIGH
GENERATION PARK MANAGEMENT DISTRICT,5684500,GENERATION PARK MANAGEMENT DISTRICT,TRUE,FALSE,5684500,11,2015-2025,84.76,HIGH
CLEAR LAKE CITY WA,2306000,CLEAR LAKE CITY WATER AUTHORITY,FALSE,FALSE,2306000,19,2007-2025,79.31,HIGH
FORT BEND COUNTY LID 015,3073755,FORT BEND COUNTY LID 15,FALSE,FALSE,3073755,19,2007-2025,76.36,HIGH
BRIDGESTONE MUD,1703000,BRIDGESTONE MUD,TRUE,FALSE,1703000,19,2007-2025,74.86,HIGH
BRAZOSPORT WA,1668500,BRAZOSPORT WATER AUTHORITY,FALSE,FALSE,1668500,19,2007-2025,73.41,HIGH
BRAZOS RA,1685000,BRAZOS RIVER AUTHORITY,FALSE,FALSE,1685000,19,2007-2025,72.75,HIGH
COLLIN COUNTY MUD 01,2328500,COLLIN COUNTY MUD 1,FALSE,FALSE,2328500,11,2015-2025,72.67,HIGH
FORT BEND COUNTY WCID 2,3090000,FORT BEND COUNTY WCID 2,TRUE,FALSE,3090000,19,2007-2025,71.06,HIGH
BELMONT FWSD 1,1258525,BELMONT FWSD 1,TRUE,FALSE,1258525,10,2016-2025,71.01,HIGH
FORT BEND COUNTY MUD 128,3083437,FORT BEND COUNTY MUD 128,TRUE,FALSE,3083437,15,2011-2025,68.69,HIGH
CINCO MUD 01,2286716,CINCO MUD 1,FALSE,FALSE,2286716,19,2007-2025,66.74,HIGH
FORT BEND COUNTY MUD 142,3084951,FORT BEND COUNTY MUD 142,TRUE,FALSE,3084951,19,2007-2025,66.2,HIGH
MCKINNEY MUD 1,5790750,MCKINNEY MUD 1,TRUE,FALSE,5790750,10,2016-2025,63.68,HIGH
MONTGOMERY COUNTY MUD 119,5857532,MONTGOMERY COUNTY MUD 119,TRUE,FALSE,5857532,14,2012-2025,63.6,HIGH
HARRIS COUNTY MUD 171,3737410,HARRIS COUNTY MUD 171,TRUE,FALSE,3737410,8,2018-2025,63.02,HIGH
CLEAR BROOK CITY MUD,2297000,CLEAR BROOK CITY MUD,TRUE,FALSE,2297000,19,2007-2025,62.75,HIGH
FORT BEND COUNTY MUD 030,3079950,FORT BEND COUNTY MUD 30,FALSE,FALSE,3079950,19,2007-2025,62.17,HIGH
PORT FREEPORT,7128700,PORT FREEPORT,TRUE,FALSE,7128700,19,2007-2025,61.94,HIGH
HORIZON REGIONAL MUD,2853000,HORIZON REGIONAL MUD,TRUE,FALSE,2853000,19,2007-2025,60.2,HIGH
FORT BEND COUNTY MUD 023,3079800,FORT BEND COUNTY MUD 23,FALSE,FALSE,3079800,19,2007-2025,59.38,HIGH
FORT BEND COUNTY MUD 151,3079389,FORT BEND COUNTY MUD 151,TRUE,FALSE,3079389,19,2007-2025,59.26,HIGH
HARRIS COUNTY MUD 433,3737173,HARRIS COUNTY MUD 433,TRUE,FALSE,3737173,12,2014-2025,58.64,HIGH
FORT BEND COUNTY MUD 133,3077163,FORT BEND COUNTY MUD 133,TRUE,FALSE,3077163,17,2009-2025,58.47,HIGH
NUECES RA,6125000,NUECES RIVER AUTHORITY,FALSE,FALSE,6125000,19,2007-2025,58.24,HIGH
CEDAR PORT NAVIGATION & ID,2265300,CEDAR PORT NAVIGATION AND IMPROVEMENT DISTRICT,FALSE,FALSE,2265300,19,2007-2025,57.83,HIGH
THE LAKES FWSD,6074000,THE LAKES FWSD,TRUE,FALSE,6074000,7,2019-2025,57.67,HIGH
DENTON COUNTY FWSD 07,2721850,DENTON COUNTY FWSD 7,FALSE,FALSE,2721850,19,2007-2025,57.18,HIGH
BRAZORIA-FORT BEND COUNTIES MUD 1,1664250,BRAZORIA-FORT BEND COUNTIES MUD 1,TRUE,FALSE,1664250,19,2007-2025,56.62,HIGH
HARRIS COUNTY MUD 368,3738300,HARRIS COUNTY MUD 368,TRUE,FALSE,3738300,19,2007-2025,56.24,HIGH
SIENNA MUD 04,7573700,SIENNA MUD 4,FALSE,FALSE,7573700,9,2017-2025,56.19,HIGH
TRAVIS COUNTY MUD 04,7822400,TRAVIS COUNTY MUD 4,FALSE,FALSE,7822400,19,2007-2025,56.11,HIGH
FORT BEND COUNTY LID 017,3073758,FORT BEND COUNTY LID 17,FALSE,FALSE,3073758,19,2007-2025,55.15,HIGH
NORTHWEST HARRIS COUNTY MUD 19,6041565,NORTHWEST HARRIS COUNTY MUD 19,TRUE,FALSE,6041565,19,2007-2025,54.87,HIGH
REMINGTON MUD 1,7281250,REMINGTON MUD 1,TRUE,FALSE,7281250,19,2007-2025,54.45,HIGH
SUNFIELD MUD 04,7632875,SUNFIELD MUD 4,FALSE,FALSE,7632875,4,2022-2025,54.37,HIGH
HARRIS COUNTY MUD 285,3737764,HARRIS COUNTY MUD 285,TRUE,FALSE,3737764,19,2007-2025,53.88,HIGH
HARRIS-WALLER COUNTIES MUD 04,4036617,HARRIS-WALLER COUNTIES MUD 4,FALSE,FALSE,4036617,3,2023-2025,53.22,HIGH
HARRIS COUNTY MUD 167,3737402,HARRIS COUNTY MUD 167,TRUE,FALSE,3737402,19,2007-2025,52.98,HIGH
LOWER NECHES VALLEY AUTHORITY,5480000,LOWER NECHES VALLEY AUTHORITY,TRUE,FALSE,5480000,19,2007-2025,52.63,HIGH
PECAN GROVE MUD,7039000,PECAN GROVE MUD,TRUE,FALSE,7039000,19,2007-2025,51.99,HIGH
NORTHLAKE MMD 1,5991750,NORTHLAKE MMD 1,TRUE,FALSE,5991750,5,2021-2025,51.76,HIGH
HARRIS COUNTY MUD 495,3739608,HARRIS COUNTY MUD 495,TRUE,FALSE,3739608,9,2017-2025,51.56,HIGH
CYPRESS HILL MUD 1,2412750,CYPRESS HILL MUD 1,TRUE,FALSE,2412750,19,2007-2025,51.43,HIGH
DENTON COUNTY FWSD 06,2721848,DENTON COUNTY FWSD 6,FALSE,FALSE,2721848,19,2007-2025,50.86,HIGH
UPPER BRUSHY CREEK WCID,8100500,UPPER BRUSHY CREEK WCID,TRUE,FALSE,8100500,4,2022-2025,50.62,HIGH
SIENNA PLANTATION MUD 12,7573918,SIENNA PLANTATION MUD 12,TRUE,FALSE,7573918,19,2007-2025,50.53,HIGH
HARRIS COUNTY MUD 490,3737124,HARRIS COUNTY MUD 490,TRUE,FALSE,3737124,3,2023-2025,50.34,HIGH
HARRIS COUNTY MUD 290,3737774,HARRIS COUNTY MUD 290,TRUE,FALSE,3737774,19,2007-2025,50.34,HIGH
HARRIS COUNTY MUD 558,9000002,HARRIS COUNTY MUD 558,TRUE,FALSE,9000002,5,2021-2025,50.1,HIGH
GALVESTON COUNTY MUD 56,3179826,GALVESTON COUNTY MUD 56,TRUE,FALSE,3179826,8,2018-2025,49.92,HIGH
DENTON COUNTY MUD 6,2722060,DENTON COUNTY MUD 6,TRUE,FALSE,2722060,6,2020-2025,49.63,HIGH
FORT BEND COUNTY MUD 182,3079475,FORT BEND COUNTY MUD 182,TRUE,FALSE,3079475,10,2016-2025,49.5,HIGH
SAN ANTONIO RA,7410000,SAN ANTONIO RIVER AUTHORITY,FALSE,FALSE,7410000,19,2007-2025,49.34,HIGH
COMAL COUNTY WCID 6,2393850,COMAL COUNTY WCID 6,TRUE,FALSE,2393850,7,2019-2025,48.74,HIGH
HARRIS COUNTY MUD 423,3737160,HARRIS COUNTY MUD 423,TRUE,FALSE,3737160,6,2020-2025,48.25,HIGH
KAUFMAN COUNTY FWSD 4A,5159994,KAUFMAN COUNTY FWSD 4A,TRUE,FALSE,5159994,5,2021-2025,47.9,HIGH
MONTGOMERY COUNTY MUD 128A,5865089,MONTGOMERY COUNTY MUD 128A,TRUE,FALSE,5865089,5,2021-2025,47.8,HIGH
HARRIS COUNTY MUD 400,3737131,HARRIS COUNTY MUD 400,TRUE,FALSE,3737131,19,2007-2025,47.53,HIGH
LAVACA-NAVIDAD RA,5373000,LAVACA-NAVIDAD RIVER AUTHORITY,FALSE,FALSE,5373000,19,2007-2025,47.34,HIGH
HARRIS COUNTY WCID 096,4225000,HARRIS COUNTY WCID 96,FALSE,FALSE,4225000,19,2007-2025,47.2,HIGH
IMPERIAL REDEVELOPMENT DISTRICT,4703000,IMPERIAL REDEVELOPMENT DISTRICT,TRUE,FALSE,4703000,9,2017-2025,47.03,HIGH
FORT BEND COUNTY MUD 215,3086775,FORT BEND COUNTY MUD 215,TRUE,FALSE,3086775,8,2018-2025,46.84,HIGH
HARRIS COUNTY MUD 449,3737147,HARRIS COUNTY MUD 449,TRUE,FALSE,3737147,10,2016-2025,46.81,HIGH
SPRING CREEK UD,7591800,SPRING CREEK UTILITY DISTRICT,FALSE,FALSE,7591800,19,2007-2025,46.59,HIGH
WILLIAMSON COUNTY MUD 12,8664558,WILLIAMSON COUNTY MUD 12,TRUE,FALSE,8664558,10,2016-2025,46.4,HIGH
BRUSHY CREEK MUD,1738000,BRUSHY CREEK MUD,TRUE,FALSE,1738000,19,2007-2025,46.23,HIGH
HARRIS-WALLER COUNTIES MUD 03,3994019,HARRIS-WALLER COUNTIES MUD 3,FALSE,FALSE,3994019,9,2017-2025,45.98,HIGH
HARRIS COUNTY MUD 406,3737145,HARRIS COUNTY MUD 406,TRUE,FALSE,3737145,15,2011-2025,45.49,HIGH
LAZY NINE MUD 1B,5374500,LAZY NINE MUD 1B,TRUE,FALSE,5374500,12,2014-2025,45.48,HIGH
FORT BEND COUNTY MUD 050,3079989,FORT BEND COUNTY MUD 50,FALSE,FALSE,3079989,19,2007-2025,45.37,HIGH
GULF COAST WA,3444100,GULF COAST WATER AUTHORITY,FALSE,FALSE,3444100,19,2007-2025,45.34,HIGH
MAGNOLIA POINTE MUD 1,2743750,MAGNOLIA POINTE MUD 1,TRUE,FALSE,2743750,6,2020-2025,45.15,HIGH
HARRIS COUNTY MUD 536,3747156,HARRIS COUNTY MUD 536,TRUE,FALSE,3747156,7,2019-2025,44.8,HIGH
HIGHWAY 380 MMD 01,4636875,HIGHWAY 380 MMD 1,FALSE,FALSE,4636875,9,2017-2025,44.74,HIGH
FORT BEND COUNTY MUD 134E,3081215,FORT BEND COUNTY MUD 134E,TRUE,FALSE,3081215,6,2020-2025,44.16,HIGH
HARRIS COUNTY MUD 071,3737190,HARRIS COUNTY MUD 71,FALSE,FALSE,3737190,19,2007-2025,43.85,HIGH
HARRIS COUNTY MUD 391,3738440,HARRIS COUNTY MUD 391,TRUE,FALSE,3738440,19,2007-2025,43.62,HIGH
HARRIS COUNTY MUD 504,3737237,HARRIS COUNTY MUD 504,TRUE,FALSE,3737237,10,2016-2025,43.54,HIGH
TIMBER LANE UD,7786000,TIMBER LANE UTILITY DISTRICT,FALSE,FALSE,7786000,19,2007-2025,43.23,HIGH
FULSHEAR MUD 3A,3128438,FULSHEAR MUD 3A,TRUE,FALSE,3128438,8,2018-2025,43.02,HIGH
COLLIN COUNTY WCID 3,2325500,COLLIN COUNTY WCID 3,TRUE,FALSE,2325500,10,2016-2025,42.94,HIGH
HARRIS COUNTY MUD 001,3737050,HARRIS COUNTY MUD 1,FALSE,FALSE,3737050,19,2007-2025,42.87,HIGH
GALVESTON COUNTY MUD 45,3191113,GALVESTON COUNTY MUD 45,TRUE,FALSE,3191113,10,2016-2025,42.67,HIGH
SIENA MUD 1,7572400,SIENA MUD 1,TRUE,FALSE,7572400,10,2016-2025,42.51,HIGH
MONTGOMERY COUNTY MUD 105,5857448,MONTGOMERY COUNTY MUD 105,TRUE,FALSE,5857448,9,2017-2025,42.34,HIGH
BRAZORIA COUNTY MUD 26,1636662,BRAZORIA COUNTY MUD 26,TRUE,FALSE,1636662,16,2007-2022,41.82,HIGH
WILLIAMSON COUNTY MUD 28,8664489,WILLIAMSON COUNTY MUD 28,TRUE,FALSE,8664489,8,2018-2025,41.34,HIGH
HARRIS COUNTY WCID 089,4190000,HARRIS COUNTY WCID 89,FALSE,FALSE,4190000,19,2007-2025,41.05,HIGH
MONTGOMERY COUNTY MUD 115,5857517,MONTGOMERY COUNTY MUD 115,TRUE,FALSE,5857517,16,2010-2025,40.83,HIGH
BRAZORIA COUNTY MUD 56,1636538,BRAZORIA COUNTY MUD 56,TRUE,FALSE,1636538,4,2022-2025,40.76,HIGH
MONTGOMERY COUNTY MUD 111,5853755,MONTGOMERY COUNTY MUD 111,TRUE,FALSE,5853755,5,2021-2025,40.63,HIGH
TRADITION MUD 2B OF DENTON COUNTY,7810625,TRADITION MUD 2B,FALSE,FALSE,7810625,3,2023-2025,40.59,HIGH
FORT BEND COUNTY MUD 134D,3081198,FORT BEND COUNTY MUD 134D,TRUE,FALSE,3081198,9,2017-2025,40.58,HIGH
ECTOR COUNTY UD,2816000,ECTOR COUNTY UTILITY DISTRICT,FALSE,FALSE,2816000,6,2020-2025,40.45,HIGH
FORT BEND COUNTY MUD 194,3076125,FORT BEND COUNTY MUD 194,TRUE,FALSE,3076125,12,2014-2025,40.38,HIGH
CONROE MMD 1,2402923,CONROE MMD 1,TRUE,FALSE,2402923,8,2018-2025,40.36,HIGH
