term,label,model,mean,lower,upper
DSCI_100,Drought severity (DSCI/100),Debt / conn.,0.350226573965987,0.3222676049253,0.378185543006674
seller_restricted,Seller under restriction,Debt / conn.,1.69780026468725,1.59881587492352,1.79678465445099
ln_connections,Log connections,Debt / conn.,0.236032363227203,0.188861201429996,0.28320352502441
storage_per_conn_g,Storage per connection (asinh gal),Debt / conn.,0.0381826043161649,-0.00969433543201046,0.0860595440643402
source_surface,Surface water (vs ground),Debt / conn.,1.02123900941104,0.810844035654892,1.23163398316719
purchases_water,Purchases water (primary),Debt / conn.,-0.592297421139761,-0.794601501462726,-0.389993340816795
emergency_source,Emergency source/interconnect,Debt / conn.,-0.0945076536807815,-0.238841481280694,0.049826173919131
wholesaler,Wholesaler (sells water),Debt / conn.,-0.0846412062836562,-0.241189933978897,0.0719075214115845
ln_home_value,Log median home value,Debt / conn.,0.507394488752942,0.310122700272551,0.704666277233333
median_structure_age,Median structure age (yrs),Debt / conn.,-0.000311719841592289,-0.00889266838120175,0.00826922869801717
perc_dem_vote,% Dem. vote share,Debt / conn.,-0.00596867000586413,-0.0124916538595652,0.000554313847836947
debt_per_conn,Debt per connection (asinh),Debt / conn.,-0.0216895263194922,-0.0585731537108446,0.0151941010718603
DSCI_100,Drought severity (DSCI/100),Fund bal. / conn.,0.350255713036281,0.322296886307214,0.378214539765349
seller_restricted,Seller under restriction,Fund bal. / conn.,1.69826263247355,1.59927926243803,1.79724600250907
ln_connections,Log connections,Fund bal. / conn.,0.237570914268466,0.19021489207374,0.284926936463192
storage_per_conn_g,Storage per connection (asinh gal),Fund bal. / conn.,0.0374027564857623,-0.010513941557625,0.0853194545291497
source_surface,Surface water (vs ground),Fund bal. / conn.,1.02178541504944,0.811292045277509,1.23227878482137
purchases_water,Purchases water (primary),Fund bal. / conn.,-0.590855590504657,-0.793158080832144,-0.388553100177171
emergency_source,Emergency source/interconnect,Fund bal. / conn.,-0.094946817928267,-0.239300059470593,0.0494064236140594
wholesaler,Wholesaler (sells water),Fund bal. / conn.,-0.0840009141458724,-0.240630020436775,0.0726281921450306
ln_home_value,Log median home value,Fund bal. / conn.,0.499827039158593,0.301905887135564,0.697748191181622
median_structure_age,Median structure age (yrs),Fund bal. / conn.,7.01134154604669e-05,-0.00850777984957451,0.00864800668049544
perc_dem_vote,% Dem. vote share,Fund bal. / conn.,-0.00612154550042668,-0.012646996197255,0.000403905196401619
fund_bal_per_conn,Fund balance per connection (asinh),Fund bal. / conn.,0.0328952984951861,-0.0307806404687103,0.0965712374590824
DSCI_100,Drought severity (DSCI/100),Revenue / conn.,0.350513910987835,0.32255395146175,0.378473870513919
seller_restricted,Seller under restriction,Revenue / conn.,1.69770083673847,1.59872479286124,1.79667688061571
ln_connections,Log connections,Revenue / conn.,0.238109027801852,0.190882792396484,0.28533526320722
storage_per_conn_g,Storage per connection (asinh gal),Revenue / conn.,0.0369685394204282,-0.0109063848937266,0.084843463734583
source_surface,Surface water (vs ground),Revenue / conn.,1.02056972031882,0.810225744767481,1.23091369587017
purchases_water,Purchases water (primary),Revenue / conn.,-0.591046327064174,-0.793285376464289,-0.388807277664059
emergency_source,Emergency source/interconnect,Revenue / conn.,-0.0941083712735269,-0.238435726157397,0.0502189836103434
wholesaler,Wholesaler (sells water),Revenue / conn.,-0.0819185795935854,-0.238510120398586,0.0746729612114151
ln_home_value,Log median home value,Revenue / conn.,0.502284065093212,0.304963984583783,0.699604145602641
median_structure_age,Median structure age (yrs),Revenue / conn.,-6.76784588757133e-06,-0.00857934738628748,0.00856581169451233
perc_dem_vote,% Dem. vote share,Revenue / conn.,-0.00601601502244364,-0.0125366301314074,0.000504600086520163
revenue_per_conn,Revenue per connection (asinh),Revenue / conn.,0.0857446666841024,0.00470973282544354,0.166779600542761
DSCI_100,Drought severity (DSCI/100),All fiscal (joint),0.350426711155626,0.322463403461856,0.378390018849397
seller_restricted,Seller under restriction,All fiscal (joint),1.6969097082244,1.59793441468853,1.79588500176027
ln_connections,Log connections,All fiscal (joint),0.239293735278012,0.191912439461134,0.28667503109489
storage_per_conn_g,Storage per connection (asinh gal),All fiscal (joint),0.0365010469490679,-0.0113907554907283,0.0843928493888642
source_surface,Surface water (vs ground),All fiscal (joint),1.0242866568814,0.813766792007948,1.23480652175485
purchases_water,Purchases water (primary),All fiscal (joint),-0.592813722765245,-0.795107597423789,-0.390519848106702
emergency_source,Emergency source/interconnect,All fiscal (joint),-0.0923093403827579,-0.236681402829156,0.0520627220636398
wholesaler,Wholesaler (sells water),All fiscal (joint),-0.0800203099845194,-0.236685512949414,0.0766448929803754
ln_home_value,Log median home value,All fiscal (joint),0.4998385865777,0.301970954900153,0.697706218255247
median_structure_age,Median structure age (yrs),All fiscal (joint),-0.000160267196009183,-0.0087467723299231,0.00842623793790473
perc_dem_vote,% Dem. vote share,All fiscal (joint),-0.00597907416421735,-0.0125061364003812,0.000547988071946492
debt_per_conn,Debt per connection (asinh),All fiscal (joint),-0.0211783503673532,-0.0579520867467407,0.0155953860120344
fund_bal_per_conn,Fund balance per connection (asinh),All fiscal (joint),0.0132093868949189,-0.0538467980146552,0.0802655718044929
revenue_per_conn,Revenue per connection (asinh),All fiscal (joint),0.0802824879891982,-0.00462625054181184,0.165191226520208
