term,label,model,mean,lower,upper
DSCI_100,Drought severity (DSCI/100),Model 1 (global),0.329296099978738,0.299687085951076,0.3589051140064
seller_restricted,Seller under restriction,Model 1 (global),1.66662364758017,1.55915278205465,1.77409451310568
ln_connections,Log connections,Model 1 (global),0.232535176182116,0.18275417035206,0.282316182012171
storage_per_conn_g,Storage per connection (asinh gal),Model 1 (global),0.0432839396248198,-0.00611436351217624,0.0926822427618159
source_surface,Surface water (vs ground),Model 1 (global),1.08111682182584,0.829693964181282,1.33253967947039
purchases_water,Purchases water (primary),Model 1 (global),-0.553947328574777,-0.789777865578183,-0.318116791571371
emergency_source,Emergency source/interconnect,Model 1 (global),-0.0469988425860955,-0.204520681021714,0.110522995849523
wholesaler,Wholesaler (sells water),Model 1 (global),-0.0235573023828005,-0.196242114826598,0.149127510060997
ln_home_value,Log median home value,Model 1 (global),0.462034593075679,0.241826216398902,0.682242969752457
median_structure_age,Median structure age (yrs),Model 1 (global),-0.00173768523059122,-0.0110941185139633,0.00761874805278086
perc_dem_vote,% Dem. vote share,Model 1 (global),-0.0102612503833266,-0.0178872835128454,-0.00263521725380773
