GEOID,Year,Total_Population,White_Population,Median_Income,Household_Pop,Household_Owner_Occupied,Pop_Over_25,Pop_Bach,Median Year Structure Built,Median_Home_Value
48001950100,2009,5447,4540,29966,5317,4251,3648,596,1991,110500
48001950100,2010,4958,4212,30433,4809,4038,3389,657,1992,110400
48001950100,2011,4844,4341,28542,4726,4052,3399,674,1992,119400
48001950100,2012,5164,4657,29535,5053,4294,3549,696,1992,107200
48001950100,2013,5067,4507,30176,4964,4173,3552,727,1991,104800
48001950100,2014,4692,4177,29059,4609,3803,3287,737,1988,108100
48001950100,2015,4782,4090,26702,4724,3850,3399,752,1985,89800
48001950100,2016,5142,4201,25032,5076,3957,3788,688,1983,83000
48001950100,2017,5277,4275,22441,5207,3977,3932,662,1982,91200
48001950100,2018,5477,4400,21374,5384,4449,4072,556,1983,81400
48001950100,2019,5966,4381,20113,5841,4865,4265,639,1981,73900
48001950100,2020,5216,4501,21030,5063,4212,3731,543,1980,72000
48001950100,2021,5447,4540,29966,5317,4251,3648,596,1991,110500
48001950401,2009,4544,2145,,114,35,3854,107,1979,9999
48001950401,2010,4867,2594,19313,267,89,4153,130,1978,9999
48001950401,2011,4838,2872,20100,321,155,4060,133,1982,
48001950401,2012,4872,2860,18819,297,101,4182,163,1983,
48001950401,2013,4975,2895,14688,333,74,4195,119,1979,
48001950401,2014,5040,2951,17109,309,78,4260,114,1983,
48001950401,2015,5166,3064,17500,278,50,4348,117,1984,
48001950401,2016,5842,3498,9435,268,13,4843,110,1984,
48001950401,2017,6337,3670,8933,291,7,5291,78,1982,
48001950401,2018,6773,4054,10571,226,8,5794,113,1985,
48001950401,2019,7272,4444,9771,211,9,6235,104,1975,
48001950401,2020,8089,4473,8981,204,0,6876,106,1972,
48001950401,2021,4544,2145,,114,35,3854,107,1979,9999
48001950402,2009,6997,3476,3490,0,0,6624,159,,
48001950402,2010,7335,3827,14050,0,0,7013,164,,
48001950402,2011,7511,4400,16600,200,28,7213,224,1984,
48001950402,2012,7548,4296,16715,213,29,7231,199,1988,
48001950402,2013,7368,4160,14958,249,17,7045,174,1993,
48001950402,2014,7193,3932,12073,204,0,6826,160,1981,
48001950402,2015,6802,3770,,138,9,6414,104,1983,
48001950402,2016,5586,3045,19167,177,11,5172,92,1989,
48001950402,2017,4320,2354,18333,182,9,4003,87,1985,
48001950402,2018,3192,1809,33935,223,32,2884,62,1988,40700
48001950402,2019,1944,1143,40556,262,34,1721,22,1991,41300
48001950402,2020,3755,1619,41615,215,19,3574,83,1988,
48001950402,2021,6997,3476,3490,0,0,6624,159,,
48001950500,2009,4236,2948,26198,4069,2721,2850,569,1967,83700
48001950500,2010,4397,3220,22974,4273,3189,2702,453,1963,85400
48001950500,2011,4465,2982,21716,4352,2684,2889,328,1969,86300
48001950500,2012,4569,3349,18191,4427,2486,2966,349,1971,81900
48001950500,2013,4632,3211,18369,4480,2804,2889,383,1969,83200
48001950500,2014,4680,3316,17041,4523,2902,2837,422,1970,81100
48001950500,2015,4587,3211,17229,4409,2631,2665,410,1970,79900
48001950500,2016,4666,3546,17119,4476,2698,2660,421,1967,78100
48001950500,2017,4447,2995,18238,4299,2502,2508,393,1966,79300
48001950500,2018,4538,2862,19386,4388,2554,2782,405,1965,74700
48001950500,2019,4285,2684,17689,4126,2366,2700,282,1962,75000
48001950500,2020,4576,2887,17262,4206,2744,2752,362,1958,72200
48001950500,2021,4236,2948,26198,4069,2721,2850,569,1967,83700
48001950600,2009,5843,3408,16379,5692,3452,3770,166,1980,105600
48001950600,2010,4704,3226,18413,4594,2889,3104,188,1979,97100
48001950600,2011,5148,3549,17137,5025,3174,3493,221,1979,92300
48001950600,2012,5570,4026,17113,5486,3775,3682,276,1977,91400
48001950600,2013,6261,4134,19580,6039,3825,3739,306,1973,89400
