Credit Sector	Credit Name	State	Fiscal Year End	Cash & Short-Term Investments	Net Accounts Receivable	Total Assets	Current Assets	Current Liabilities	Current Portion LTD - Payable from Cur Assets	Current Portion LTD - Payable from Rst Assets	Invested in Capital Assets, net of related debt	Total Liabilities	Long-Term Debt	Total Fund Equity	Pension Liability	OPEB Liability	Total Operating Rev	Non-Operating Rev	Total Operating Exp	Depreciation & Amortization Exp	Total  Interest Exp	Purchased Power Exp	Revenue Over Expenses	Total Change in Net Assets	Residential MWh Sales	Total Electric Sales (in MWh)	Water / Sewer Rev	Total Water Sales Operating Rev	Total Sewer Sales Operating Rev	Tax Support	Transfers Out
Retail Electric	Abbeville Utility Fund	LA	12/31/2019	1977	1877	19258	4180	608	0	0	13374	9161	0	10097	1495	4916	16804	32	10004	1182	0	6610	6832	1004			3646			0	6212
Retail Electric	Abbeville Utility Fund	LA	12/31/2018	2452	1875	20189	4655	628	0	0	14253	11096	0	9093	1554	6954	16884	205	13001	1175	0	6682	4088	-1331			3650			0	5971
Retail Electric	Abbeville Utility Fund	LA	12/31/2017	2318	2011	21284	4647	661	0	0	14878	10001	0	11283	1635	6666	17041	154	12759	1185	0	6912	4436	-1055			3523			0	5995
Retail Electric	Abbeville Utility Fund	LA	12/31/2016	2853	1934	22255	5322	947	0	0	15456	6393	0	15862	1499	2956	17638	288	13818	1145	0	7945	4108	-853			3354			0	5603
Retail Electric	Abbeville Utility Fund	LA	12/31/2015	1568	1970	22461	3834	711	0	0	15940	5746	0	16715	1244	2775	17951	27	13570	1084	0	8046	4408	-329			3337			0	5432
Retail Electric	Abbeville Utility Fund	LA	12/31/2014	1433	1887	22380	3585	844	0	0	15860	5336	0	17044	821	2599	17744	85	12910	962	0	7806	4919	3400			3290			0	5204
Retail Electric	Abbeville Utility Fund	LA	12/31/2013	649	2270	18936	3206	1037	0	0	14184	4379	0	14557			19344	75	15345	937	0	10336	4074	-425			3224			0	5444
Retail Electric	Abbeville Utility Fund	LA	12/31/2012	363	2255	18977	2861	826	0	0	14519	3995	0	14982			17731	98	14181	912	36	8520	3612	1887			3277			0	5476
Retail Electric	Adams-Columbia Electric Cooperative & Sub	WI	12/31/2020	892	6614	244965	17972	15415	5030	0		143060	125199	101905	0	0	70809	1392	57683	9821	4600	34691	9918	7921	274080	531754	0			0	0
Retail Electric	Adams-Columbia Electric Cooperative & Sub	WI	12/31/2019	1105	7241	235970	16422	9544	4192	0		141986	130048	93984	432	0	69781	1583	60288	9067	3891	38133	7185	4859	272010	515265	0			0	0
Retail Electric	Adams-Columbia Electric Cooperative & Sub	WI	12/31/2018	1344	6997	234842	29809	11967	4070	0		145716	131416	89126	478	0	70443	1859	60372	8484	3950	38680	7980	6286	279803	530527	0			0	0
Retail Electric	Adams-Columbia Electric Cooperative & Sub	WI	12/31/2017	1164	7591	204313	23320	10900	3927	0		121474	108066	82839	611	0	68314	1252	59840	7974	4022	37721	5704	4118	260879	493276	0			0	0
Retail Electric	Adams-Columbia Electric Cooperative & Sub	WI	12/31/2016	1989	7333	182347	10429	11830	3631	0		103626	89396	78721	516	0	65949	905	57653	7790	4177	35545	5024	2649			0			0	0
Retail Electric	Adams-Columbia Electric Cooperative & Sub	WI	12/31/2015	2877	6415	179632	10513	11323	3574	0		103559	90038	76073	449	0	64118	526	56712	6974	4358	35389	3574	772			0			0	0
Retail Electric	Adams-Columbia Electric Cooperative & Sub	WI	12/31/2014	1325	7052	175744	9878	11127	3392	0		100444	87490	75300	421	0	67264	949	58297	6242	4518	38163	5398	3302			0			0	0
Retail Electric	Adams-Columbia Electric Cooperative & Sub	WI	12/31/2013	2843	6875	173018	11049	8528	3407	0		101020	90918	71998			61140	1521	53034	5979	4972	33960	4655	2921			0			0	0
Retail Electric	Adams-Columbia Electric Cooperative & Sub	WI	12/31/2012	5114	6115	173802	13400	10091	3015	0		104725	93233	69077			59450	1543	51120	5714	5128	32928	4745	2878			0			0	0
Retail Electric	Alachua Electric Fund	FL	09/30/2020	10325	2906	62520	14472	4391	0	668	31103	22354	11327	40166	1363	31	18870	53	14578	1532		7945	3951	1883			4366			0	2068
Retail Electric	Alachua Electric Fund	FL	09/30/2019	11723	2376	62058	15049	5687	496	439	29323	23775	11995	38283	1055	26	18257	293	15024	1436		8124	3214	1911	45432	132022	4158			0	2065
Retail Electric	Alachua Electric Fund	FL	09/30/2018	12553	2390	56154	15781	5340	491	506	26034	19782	8430	36372	824	23	18156	138	14231	1368		8050	3771	1761	43899	128941	4089			0	2362
Retail Electric	Alachua Electric Fund	FL	09/30/2017	9898	2377	54543	13145	4205	453	492	25619	19945	9427	34598	1045	37	17589	121	14166	1343		7891	3215	294	41879	126119	3853			0	2382
Retail Electric	Alachua Electric Fund	FL	09/30/2016	8834	2466	55119	12017	4013	424	474	26214	20815	10372	34304	920	34	19099	76	14330	1346		8880	4495	2419	44908	130431	3970			0	2076
Retail Electric	Alachua Electric Fund	FL	09/30/2015	5351	2574	53282	8682	3422	403	458	26357	21396	11270	31886	625	30	19123	73	15528	1363		10092	3274	1579	42873	119557	3430			0	1695
Retail Electric	Alachua Electric Fund	FL	09/30/2014	5116	2539	53150	8294	4173	382	439	26021	22237	12106	30913		27	18522	129	15122	1343		9708	3108	2077	41192	116246	3351			0	1694
Retail Electric	Alachua Electric Fund	FL	09/30/2013	3759	2330	52337	6715	4861	318	392	25824	23500	12878	28837			16218	643	13252	1319		7727	3107	2734	39441	112812	3144			0	1695
Retail Electric	Alachua Electric Fund	FL	09/30/2012	3676	2295	52077	6523	5208	947	41	21232	25896	15547	26181			15472	78	12872	1321		7386	1981	-502	39335	117421	2953			0	1693
